prediction,goldlabel,questions,passages_len
entre 18 et 30 nanomètres,les plus petits virus,question: Quelle est la taille des virus regroupe par la famille Picornaviridae ? </s>,1
représentant de la Couronne et homologue provincial du gouverneur,homologue provincial du gouverneur général du Canada,question: Quel est le role du lieutenant-gouverneur ? </s>,1
Jeanne Birkin,Kate Barry,question: Qui est a l'origine de la methode Hazelden ? </s>,1
mars 2017,encore plus après les élections européennes de 2019,question: A partir de quel moment a-t-on considere LREM comme un parti de droite ? </s>,1
fouage,Le premier impôt direct qui se généralise est le fouage,question: Quel est le premier impot direct ? </s>,1
Olivier Pla,Pescarolo,question: Qui arrive troisieme ? </s>,1
Cornelius Fudge,Cornelius Fudge,question: Qui est a la tete du gouvernement? </s>,1
janvier 1862,en janvier 1862,question: Quand les anglais et les francais debarquent-ils ? </s>,1
bimensuel,bimensuel,question: quelle est la periodicite de Voix ouvriere ? </s>,1
Bruno Quaresima,Carcano,question: Qui decide de construire l'equipe autour de Benito Lorenzi ? </s>,1
Frick Collection,la Frick Collection,question: Par quelle collection sterling Clark est-il fascine ? </s>,1
Don Pietro Cappuccio,Don Pietro Cappuccio,question: Qui est le signataire des lettres de dedicaes des deux derniers livres ? </s>,1
syncrétisme religieux,syncrétisme religieux,question: Que se passe-t-il entre les divinites grecques et le mazdeisme ? </s>,1
l'État et des collectivités territoriales,cadres supérieurs,question: Qui forment ils? </s>,1
prisonniers des camps devinrent extrêmement importants pour les industries,travailleurs forcés,question: Quelle etait la fonction des detenus pour les Nazis? </s>,1
22,38,question: Combien de listes d'union LO a t il conduit avec le PC ? </s>,1
il serait avantageux à la cause protestante qu,fière,question: Que pense l'eglise de Caen de Du Bosc ? </s>,1
Marie Françoise de Savoie-Nemours,Marie Françoise de Savoie-Nemours,question: Qui est la femme du roi du Portugal ? </s>,1
30 000,les Ottomans perdent 15 000 tués,question: Quel bilan de la chute d'Akhaltsikhe pour les turcs? </s>,1
Real Madrid,la Coupe des Champions : après avoir éliminé le,question: Contre quelle equipe l'inter a perdu en coupe des champions </s>,1
1669,1669,question: Quand fut conquise la crete? </s>,1
Malte,Malte,question: Dans quel pays Dale a-t-il ordonne d'aller se ravitailler ? </s>,1
constructiviste,constructiviste,question: Quel mouvement artistique et architectural s'applique au nouvelles construction de Choukhov ? </s>,1
GAZ-69,GAZ-69,question: Quel est le premier modele des vehicules UAZ construits par l'usine ? </s>,1
soupe,une soupe,question: Par quoi commence le dejeuner hongrois ? </s>,1
Mary Ann Foss,Mary Ann Foss,question: Avec qui Edward Dickinson Baker a-t-il eu cinq enfants </s>,1
Harry Potter,Pétunia,question: Comment s’appelle la soeur de Lily Evans ? </s>,1
Mimouchka,Mimouchka,question: Qui rencontre Roger a son retour de voyage ? </s>,1
Consorzio San Siro 2000,le Consorzio San Siro 2000,question: Qui gere le stade Giuseppe-Meazza ? </s>,1
troisième,douzième,question: Quelle est la position du FC Internazionale Milano ? </s>,1
Oreste Simonotti,le club,question: Qui a gagne le championnat d’Ambrosiana en 1930 ? </s>,1
Ingram Content Group,Ingram Content Group,question: Quel entreprise est un exemple de distributeur ? </s>,1
"circulation aérienne, électronique, informatique, techniques aéronautiques","circulation aérienne, électronique, informatique, techniques aéronautiques",question: A quelles activites l'offre de formation de l'ENAC s'est-elle elargie ? </s>,1
fuyards,"Les fuyards, poursuivis par les Républicains, se",question: Quelle fut la consequence de ce revers? </s>,1
mélanine,Les rayons ultraviolets B (UVB) du soleil permettent,question: Qu'est-ce qui permet de bronzer naturellement ? </s>,1
auprès des cours étrangères,pour une mission précise,question: Dans quel but le roi envoyait-il des ambassadeurs ? </s>,1
carrés de piquiers,carrés de piquiers,question: que sont les schiltrons ? </s>,1
Polonais,1676,question: En quelle annee la podolie est prise? </s>,1
cinq,23 titres olympiques (dont 13 titres,question: Combien de medailles olympiques Michael Phelps possede-t-il ? </s>,1
triptyque,triptyque,question: Comment s'appelle une oeuvre d'art composee de trois paneaux ou objets ? </s>,1
sciences politiques,formation,question: Dans quel domaine agissent ils ? </s>,1
il ne comprend pas ce qu'annoncent les,insiste pour qu'il fasse sauver l',question: Jane et Simon sont-ils d'accord ? </s>,1
au Théâtre de Jules Supervielle,en 1953,question: En quelle annee commence-y-il sa carriere ? </s>,1
1837,10 septembre 1844,question: Quelle est la date du traite de Tanger ? </s>,1
Latium,étrusque,question: Quelle est la civilisation a l’origine du rite de fondation de cite ? </s>,1
Hubert et al.,Hubert et al,question: Qui sont les auteurs du papier qui montre l'effet du l'alimentation et du sexe sur le taux de mortalite ? </s>,1
dixième,dixième,question: quel est le rang de UCL en 2019? </s>,1
"manque d'expérience et de professionnalisme,",principalement pour son manque d'expérience et de professionn,question: Quelles sont les principales critiques ? </s>,1
Rayon-Vita,« Rayon-Vita »,question: Quels type de Rayons est utilise dans le serum ? </s>,1
Port Royal,Port Royal (en Jamaque,question: Quelle est la destination du gouverneur et de sa fille ? </s>,1
royaume d'Awsân,royaume d'Awsân,question: Quel royaume correspond a l'actuel Yemen ? </s>,1
rythmique,yoruba,question: De quelle langue provient le vocabulaire associe a l'anglais dans la piece ? </s>,1
Amazon.com,Amazon.com,question: Quel est le plus important site de vente de livres en ligne ? </s>,1
depuis août 2016,août 2016,question: Depuis quand Olivier meslay est-il directeur du Clark art Institute ? </s>,1
Porsche 907,une 907,question: Avec quel modele de Porsche Hans Herrmann remporte-t-il les 24 heures du Daytona ? </s>,1
Bayonne,Bayonne,question: Ou eut lieu le point de rupture de l'insurrection ? </s>,1
guérilla,appelaient leurs fidèles à la croisade,question: Quel etait l'action principal des ecclesiastiques pour appuyer le soulevement de la population? </s>,1
1873,1873,question: En quelle annee s'est produite la grande depression ? </s>,1
12,12,question: combien de match en tant que titulaire </s>,1
septième bataillon du King's African Rifles,"seven », « sept » en anglais",question: Quelle est l'origine du nom Museveni ? </s>,1
Ligue communiste révolutionnaire,Ligue communiste révolutionnaire,question: Avec qui Lutte ouvrieere s'associe-t-elle pour les elections regionales de 2004 ? </s>,1
3-2,3-2,question: Quel est le score du match qui oppose la Finlande au Canada pour la medaille de bronze ? </s>,1
Mauro Enrico Olivetti,Mauro Enrico Olivetti,question: Qui est le predecesseur de Senatore Borletti a la presidence du FC Internazionale Milano ? </s>,1
l'équipe des États-Unis,L'équipe canadienne,question: Quelle equipe est opposee a l'equipe des Etats-Unis en finale de la Coupe du monde ? </s>,1
l’Hôpital de la Pitié,Hôpital de la Pitié,question: Quel a ete le dernier hopital ou il fut en poste ? </s>,1
infrastructures et une main-d'uvre ouvri,"sur la Volga, important port fluvial et",question: Quelles etaient les raisons qui ont fait de Oulianovsk la ville d'implantation provisoire des usines UAZ ? </s>,1
DMZ,la fin de la Seconde Guerre mondiale,question: quand est ce que la Coree a ete divisee ? </s>,1
Joseph Priestley,Lavoisier,question: Quel scientifique francais a vecu a la meme periode que Richard Kirwan? </s>,1
deux canzonette à cinq voix,All'ombra degli amori et Come,question: Qu'est-ce qui sont incorporees dans l'ouvrage de Robletti ? </s>,1
l'entraîneur franco-argentin du FC Bar,un système défensif optimisant l'art de,question: Quel style de jeu privilegie Helenio Herrera ? </s>,1
au sens où leur contenu dépend pour partie du contexte de leur,leur contenu dépend pour partie du contexte de leur énon,question: Qu'est ce la composante indexicale d'une notion ? </s>,1
pour rendre les échanges attrayant pour les prêt,pour rendre les échanges attrayant pour les prêt,question: Pourquoi la Bourse de Breme a-t-elle diminue le seuil minimal de negociation continue ? </s>,1
Nil,Nil,question: Sur quel fleuve est abandonne Moshe ? </s>,1
Jacques Anquetil,Jacques Anquetil,question: Qui a gagne pour la 1ere fois 5 tours de France ? </s>,1
1990,1990,question: Quand l'Excelsior AC Roubaix a t il disparu ? </s>,1
Mississippi,la Floride,question: Dans quel etat se trouve Natchez ? </s>,1
Moyen ge,Moyen ge,question: A quelle epoque l'absolu n'est plus connote negativement? </s>,1
Jacques Vaché,Guillaume Apollinaire,question: Qui a ecrit les Mamelles de Tiresias? </s>,1
méditation,"The Tonight Show, Larry King Live ou encore celle de Merv Griffin",question: Dans quelles emissions participe le guru des Beatles ? </s>,1
se prend d'affection pour cette nouvelle langue,affection,question: Quel sentiment eprouve Pierre-Jakez Helais en apprenant le francais ? </s>,1
le titre impérial ne peut être divisé,le titre impérial ne peut être divisé,question: Pourquoi la succession de Charlemagne fut elle compliquee? </s>,1
"droits des femmes, l'émigration et la","les droits des femmes, l'émigration et",question: Quels sujets importants pour la condition feminine sont abordes dans les titres de la presse acadienne? </s>,1
abritent des tortues avec des carapaces élevé,élevée,question: A quoi ressemble la carapace en forme de selle au niveau du coup ? </s>,1
7 000,4 000,question: Combien de detenus n'arriverent pas a destination a l'issue de la marche de la mort? </s>,1
Swami Brahmananda,"« moine », Bal Brahmachari Mahesh",question: Comment Saraswati surnomme-t-il Maharishi ? </s>,1
berdache,berdache,question: A qui est marie Crazy Horse ? </s>,1
moins de deux ans,deux ans,question: Comment d'annees d'experience pour aller en D-League ? </s>,1
l'île Sainte-Croix,scorbut,question: Quel fleau decime regulierement les premiers residents du territoire francais du Nouveau Monde? </s>,1
secrétaire du Comité du Parti pour la municipalité de,secrétaire du Comité du Parti pour la municipalité de,question: Quel role occupe Yu Zhengsheng ? </s>,1
Ajaccio,Ajaccio,question: Quelle est la destination de la premiere traversee commerciale du Vizzavona ? </s>,1
Dieu,Dieu,question: Qui serait indifferent selon Lucifer ? </s>,1
entre 0 et 3,"Les intensités dans le bas de la gamme, particulièrement entre",question: Quelles sont les intensites qui se melanges  sur les ecrans incompatibles au sRGB ? </s>,1
25 ans,sa longueur que par sa vitesse,question: Quels sont les parametres qui mettent le reseau ferroviere chinois a la premiere place ? </s>,1
droits de distribution de son travail,droits de distribution,question: Quels droits sont-il conserves par les auteurs et non inclus dans les contrats de transfert ? </s>,1
216,216,question: De combien de couleurs se compose la palette de couleur garanties ? </s>,1
800,800 militaires,question: Combien de militaires sont transportes a bord du Vizzavona pour la Norvege ? </s>,1
Anselm Franz,Anselm Franz,question: Qui est le pionnier du moteur a reaction ? </s>,1
Farooq Leghari,Benazir Bhutto,question: Qui a ete elu Premier ministre du Pakistan en 1993? </s>,1
place des Théâtres,sur la place des Théâtres,question: A quel endroit la facade de l'hotel Moskva a particulierement ete modifiee ? </s>,1
choux,"Leuconostoc, Lactobacillus s",question: quelles bacteries degagent des elements toxiques ? </s>,1
noire,noire,question: De quelle couleur etait la fumee ? </s>,1
artyar Képzmvészet,dans les domaines artistiques,question: Dans quel domaine l'universite hongroise des beaux-arts est elle connue ? </s>,1
Bemis Heights,Bemis Heights,question: Ou arriverent les americains ? </s>,1
Oluf Ier,une noblesse séculière de grands propri,question: Qui defend le danemark ? </s>,1
Roubaix,1922,question: En quelle annee le siege de l'Exelsior est il deplace ? </s>,1
deux,deux de ses joueurs,question: Combien de joueurs peuvent etre place par chaque club ? </s>,1
Bridgeport,à Bridgeport (Connecticut,question: Ou est mort Anselm Franz ? </s>,1
juillet 1857,juillet 1857,question: Quelle est la date de la reddition de la Grande Kabylie ? </s>,1
éliminer rapidement les détenus les plus faibles,"dans la neige, parfois par 20 °C",question: Quelles etaient les conditions atmospheriques de ce periple pour les detenus? </s>,1
dix-huit,dix-huit,question: Combien de fois le championnat d'Italie a-t-il ete gagne par le FC Internazionale Milano ? </s>,1
l’évolution des sociétés et les revendication,évolution des sociétés et les revendications des,question: qu’est ce qui a amene a la reconnaissance legale du mariage homosexuel ? </s>,1
Antoine Spinola,"les pièves de Vico, Renno et","question: Qui prenait les territoires de Paomia, Revinda et Salogna pour leur propriete ? </s>",1
52,98,question: De combien de tribus etait composee la Gaule il y a environ 2100 ans ? </s>,1
"il rentre un soir tard, ivre et","Malgré l'opposition de sa mère, il",question: Sa mere etait elle d’accord avec sa pratique du cyclisme ? </s>,1
1927,en 1927,question: Quand Roger voyage-t-il a Prague ? </s>,1
Imzad,Imzad,question: Quel est l'instrument de musique traditionnel joue par Biyat Edaber en musique chaoui ? </s>,1
John Connor,Kyle Reese,question: qui est le pere de John? </s>,1
Ville Kähkönen,Ville Kähkönen,question: Qui remporte le sprint devant Florian Schillinger le jour suivant sa premiere victoire en coupe du monde B ? </s>,1
21 h,21 h,question: A quelle heure l'emission est elle diffusee en 2016 ? </s>,1
par la signature en 1848 du traité de Guadelou,traité,question: Comment la guerre prend-elle fin ? </s>,1
Corrado Orrico,Corrado Orrico,question: Qui a pilote les travaux du terrain couvert ? </s>,1
assistante en hygiène,assistante en hygiène,question: Quel a ete le poste occupe par Clelia pendant ses etudes ? </s>,1
Henri III,partir d'Henri III,question: Quel roi a commence le mouvement de regroupement des fermes ? </s>,1
en un tissu très composite,un tissu très composite,question: Quel trait caracterise la culture chinoise depuis ses debuts ? </s>,1
Magie,contrôle et de régulation des créatures magiques,question: Dans quel departement du ministere travaille-t-il? </s>,1
San Sebastian,la Dernière heure,question: Ou travaille Gilbert Dupont? </s>,1
trois,trois,question: Combien de physiciens originaires de Hongrie ont participe au projet Manhattan ? </s>,1
guérilla,les Espagnols pratiquaient la guérilla,question: Quelle etait la tactique employee par les insurges dans cette guerre asymetrique? </s>,1
Printemps de Prague,censurant,question: Comment s'appelle le phenomene qui consiste a interdire toute production intellectuelle independante du pouvoir ou des idees en place ? </s>,1
10 mois,jusqu'à 10 mois,question: combien de temps vit une abeille en hiver </s>,1
éclipsé,"une étoile comme le Soleil, une planète ou",question: Quels sont des exemples d'astre ? </s>,1
son utilisation dangereuse,instabilité,question: Pourquoi l'ancienne basilique representait elle un risque ? </s>,1
au nord-ouest,Saint-Pierre-et-Miquelon,question: Ou le canada partage-t-il une frontiere avec la France ? </s>,1
province de Padoue,Padoue,question: Ou se situe Este ? </s>,1
veut provoquer un conflit avec les Zoulous,Bartle Frere veut provoquer un conflit avec les Zo,question: Quelle est la veritable motivation du gouverneur de la Colonie du Cap? </s>,1
Michele Ongaro,Michele Ongaro,question: Qui est le peintre hongrois le plus celebre du XVe siecle ? </s>,1
le prix Nobel de littérature,le prix Nobel de littérature,question: Quelle distinction a obtenu Wole Soyinka en 1986 ? </s>,1
la Liste royale sumérienne,faveurs divines,question: De quoi depend le regne d'un roi dans la civilisation mesopotamienne ? </s>,1
"Simonotti demande l'aide du président de la FIGC,",Leandro Arpinati,question: Comment s’apellait le president de la FIGC ? </s>,1
Mariés,Jean,question: quel est le prenom de cocteau </s>,1
Carlo,Carlo,question: Comment s'appelle l'enfant ne du mariage du fils de Gesulado et de sa femme ? </s>,1
éclipse,astronomie,question: Comment s'appelle la science d'etude des astres ? </s>,1
contrat de transfert,contrat,question: Sous quelle forme juridique les auteurs transferent leurs droits d'auteur aux maisons d'edition ? </s>,1
s'emparant de la vallée de,Le général Howe était censé rejoindre Burgoyn,question: Quel etait l'objectif de Howe pour permettre a Burgoyne d'isoler la Nouvelle-Angleterre ? </s>,1
Robben Island,à Robben Island,question: Ou a ete emprisonne Langalibalele ? </s>,1
dimanche,le dimanche,question: Quand la Semaine des Guignols est elle diffusee sur Canal+ ? </s>,1
"argent, cloisonnés de fils ou fili",argent,question: Dans quelle matieres sont faconnes les bijoux algeriens ? </s>,1
1204,1185,question: En quelle annee Philippe II Auguste s'empare t-il du compte d'Amiens ? </s>,1
quinzaine,quinzaine d'hectares,question: Combien d'hectares du complexe </s>,1
Jean Monnet et Robert Schuman,Jean,question: qui sont les peres de l'Europe? </s>,1
Agence Régionale de Santé,Agence Régionale de Santé,question: Quelle nouvelle structure sera creee a Mayotte ? </s>,1
dernier,18e,question: Quelle place le club occupe-t-il au classement en 1960 ? </s>,1
aracnea,latin,question: De quelle langue provient le mot Aragog ? </s>,1
député général,Louis XIV,question: Qui ecoute le general Du Bosc ? </s>,1
clergé,la cour où il était tenu de paraître et,question: Quels types de personnes constituent une noblesse ? </s>,1
dose journalière admissible et des limites maximale,la dose létale médiane,question: Qu'est-ce qui peut mesurer la toxicite a forte dose et faible duree ? </s>,1
"Visas, passeports, contacts avec les autorités des","Visas, passeports, contacts avec les autorités des",question: Quels sont les types de papiers qui devaient etre geres ? </s>,1
Sofres,baromètre Sofres,question: Comment s'appelle le barometre pour Le Point et La Croix ? </s>,1
Moyen ge grec,Moyen ge grec,"question: Quel est l'autre nom de la periode appelee ""siecles obscurs"" en Grece? </s>",1
vers 875,vers 875,question: Quand Athenes devient-elle un foyer culturel? </s>,1
dessein un temple de la Grèce Antique,un temple de la Grèce Antique,question: A quoi fait penser cette construction ? </s>,1
organe consultatif composé de personnalités élue,un organe consultatif,question: Quel est le statut de la Commission internationale de cooperation intellectuelle ? </s>,1
à défendre la pratique du renforcement musculaire afin de,défendre la pratique du renforcement musculaire afin de réduire,question: Pour quelle raison Clelia Mosher devient-elle le premier medecin americian ? </s>,1
suscite la déception,la déception,question: Quelle est la reaction au retour de l'emission ? </s>,1
loi britannique,loi britannique,question: A quel regime juridique sont soumis les personnages ? </s>,1
nombreuses violences au Pakistan,des campagnes d'extermination physique et culturelle,question: Quelles violences ont subis les Hindous avant d'emigrer ? </s>,1
cinq,cinq,question: quel est son record d'interceptions </s>,1
jusqu'au 11 janvier 1879,une concession jusqu'au 11 janvier 1879,question: Quelle prolongation le gouverneur de la Colonie du Cap a-t-il accorde avant l'expiration de son ultimatum? </s>,1
la treizième,Naples des Sivori et Altafini perd,question: Quelle journee l'equipe de Naples a perdu </s>,1
Alexe Greig,Alexe Greig,question: Qui dirigeait la composante navale de force militaire russe? </s>,1
1994,1994,question: Quand sort Le Tango de Satan ? </s>,1
la loi et de l'ordre,le parti de la loi et de l'ordre,question: Dans quel parti Edward Dickinson Baker s'investit il ? </s>,1
argent dans l'épreuve par équipe du combiné nordique,l'argent,question: Quelle medaille Florian Schillinger obtient il lors de l'epreuve par equipe de combine nordique de l'Universiade d'hiver de 2009 ? </s>,1
portugais,le rite portugais,question: Quel rite est pratique a Paris a la synagogue de la rue Buffault ? </s>,1
"Choumen, Varna et Silistra, capital","Choumen, Varna et Silistra",question: Quelles etaient les etaient les positions turques a conquerir pour Saint-Petersbourg sur le territoire bulgare? </s>,1
trouver un refuge,leur trouver un refuge,question: Quelle est la mission de Ioannes Stephanopoulos ? </s>,1
"l'agroalimentaire, de l'aéro","secteurs de l'agroalimentaire, de l",question: Dans quels domaines d'activites la France a-t-elle une place preponderante ? </s>,1
1967,en 1967,question: Quand Voix ouvriere devient-elle hebdomadaire ? </s>,1
pacha-beylerbey,Le,question: Un dirigeant a-t-il separe sa region de l'empire ? </s>,1
"Line, Claude, Sylvie et Denis","Line, Claude, Sylvie et Denis junior",question: Qui sont les freres et soeurs de Martin ? </s>,1
traité anglo-néerlandais de 1814,la république Boer de Natalia,"question: Quelle fut la premiere ""victime"" de l'extension de la colonie du Cap? </s>",1
ribosome,la grande sous-unité du ribosome,question: Sur quoi influent les macrolides et les lincosamides ? </s>,1
Moldave,République moldave nistréenne,question: Quel est l'autre nom de la Transnistrie ? </s>,1
Écossais,Le régiment de James Livingston participa à la bataille de,question: Pourquoi associe-t-on le 1er regiment canadien et Saratoga ? </s>,1
149,149,question: Combien y a-t-il d'elus a la Chambre des deputes ? </s>,1
"le Fils retrouvé, ou parabole du Père",trilogie,question: Comment appelle-t-on un ensemble de trois oeuvres ? </s>,1
"bleu foncé, vert et jaune","bleu foncé, vert et jaune",question: Quelles sont les couleurs preferes dans l'art algerien en matiere de bijoux ? </s>,1
marketing et la fabrication,le marketing et la fabrication,question: Suite au pret-a-porter quels sont les deux domaines qui furent exploites pour renforcer la mode francaise? </s>,1
via Francigena,la via Francigena,question: par quelle voie commence le pelerinage dans la ville sainte ? </s>,1
"repérer les meilleurs pieds de vigne, à","repérer les meilleurs pieds de vigne, à",question: En quoi consiste la selection massale ? </s>,1
"berbères, arabes, turcs, ju","berbères, arabes, turcs, ju",question: Quelles ont ete les influences mediterraneennes sur la cuisine algerienne ? </s>,1
les profits de la course,les profits de la course,question: Quelle etait l'origine de la richesse de l'Etat et de la ville d'Alger ? </s>,1
démarcher les cours européennes à la recherche d'un,démarcher les cours européennes à la recherche d'un,question: Quelle est la mission de la delegation mandatee par l'Assemblee ? </s>,1
toutes les principales villes pakistanaises,toutes les principales villes pakistanaises,question: Quelles destinations dessert le reseau de transports pakistanais ? </s>,1
"BNP Paribas, Société générale et Crédit",Crédit agricole,question: Quelle est la troisieme banque francaise ? </s>,1
28,28,question: Combien de pays autorisent le mariage homosexuel en septembre 2019 ? </s>,1
"Jordanie, Liban, Turquie, I","Jordanie, Liban, Turquie, Irak ou",question: Dans quels pays les syriens ont-il fui durant la crise syrienne ? </s>,1
le temps présent,les prophéties du calendrier maya,question: Quel est le second element cle de l'album ? </s>,1
d'avoir tué un marshall des États-,d'avoir tué un marshall des États-,question: De quoi  Charles Cora est il accuse ? </s>,1
régime colonial,par le régime colonial,question: Par qui les Africains du Natal sont injustement traites ? </s>,1
Jacques Anquetil,cycliste,question: Stablinski faisait-il du velo ? </s>,1
Jonas Michaelius,des Pays-Bas,question: D’ou vient le 1er pasteur ? </s>,1
les toponymes originaux,les toponymes originaux,question: Quels toponymes utilisent les Arcadiens ? </s>,1
extrémités 5’ et 3’,aux extrémités 5’ et 3,question: Sur quelles sections nous trouvons les regions NTR ? </s>,1
son immersion,l'interposition d'un autre objet c,question: Pourquoi l'astre semble-t-il disparaitre ? </s>,1
gigantesques volcans,à de gigantesques volcans,question: A quoi ressemblaient les fours ? </s>,1
assassiné en 1975,assassiné,question: Comment l' empereur d'Ethiopie est il mort ? </s>,1
XIXe et XXe siècles,durant les XIXe et XX,question: A quelle periode l’homosexualite a commence a etre considere comme une maladie mentale ? </s>,1
Cho Chang,Cho Chang,question: Comment s'appelle la copine de Cedric dont Harry est jaloux ? </s>,1
concession jusqu'au 11 janvier 1879,Cetshwayo rejette les demandes du 11 décembre,question: Quelle reponse a ete apportee par le Roi des Zoulous aux exigences de Bartle Frere? </s>,1
peu de cas de son voisinage,haut,question: Le fourneau est haut ou bas? </s>,1
John Connor,chef de la résistance humaine contre les machines,question: quel est l'autre nom de john connor? </s>,1
"en raison de ses origines françaises, le défenseur",en raison de ses origines françaises,question: Pourquoi Istvan Nyers est il appele Etienne ? </s>,1
chef,rédacteur en chef,question: Quel metier a exerce Pierre-Jakez Helias au journal du MLN ? </s>,1
lors de l'invasion normande de l,lors de l'invasion normande de l,question: A quel moment est arrivee la famille Butler ? </s>,1
"Choumen, Varna et Silistra",Varna,question: Quelle fut la premiere et seule des trois villes assiegees par les Russes a tomber entre leurs mains? </s>,1
scafandres,des mines emplies « d'un vinaigre,question: Comment l'armee franco-espagnole imagine-t-elle detruire la forteresse ? </s>,1
la guerre civile entre les trois fils éclate en,guerre civile entre les trois fils,question: Quelle fut la consequence de la mort de Charlemagne? </s>,1
meneur de jeu,meneur de jeu,question: Quel est le poste de Meazza ? </s>,1
pour soutenir leurs idées de révolution sociale,Il en est exclu,question: Pourquoi Andre Breton n'a pas pu beaucoup participe aux activite s du Parti communiste francais ? </s>,1
"Seamus Elliott, Groussard, Hoevenaers,",Stablinski,question: Qui termine 1er ? </s>,1
armée continentale,cette armée américaine était moins bien organisée que l,question: Quelle etait l'armee la mieux organisee lors de la guerre d'independance des Etats-Unis ? </s>,1
500 millions de dollars,500 millions de dollars,question: Quelle est la dette cumulee des Etats-Unis en 2017 ? </s>,1
khanat de Crimée,"Des États vassaux payent un tribut annuel,",question: L'empire est-il exclusivement musulman ? </s>,1
frères Barberousse,Les frères Barberousse,question: Qui reussit a repousser les Espagnols hors d'Alger ? </s>,1
funèbre,funèbre,question: Quel est le caractere de cette œuvre ? </s>,1
Grace Raine,Grace Raine,question: Qui etait le professeur de chant de Doris Day ? </s>,1
1990,la Conférence mondiale sur l'éducation pour tous,question: Quel evenement a lance le mouvement global pour une education de base pour tous ? </s>,1
"Royaume-Uni, États-Unis, Tchécos","Royaume-Uni, États-Unis, Tchécos",question: Quels sont les trois pays particulierement impliques dans le mouvement surrealiste ? </s>,1
wallonie,wallonie,question: Dans quelle region habite la famille Van Aerschodt ? </s>,1
Edward Charles Pickering,Leavitt commence à travailler en tant qu'une,question: Qui etait l'employeur de Leavitt a l'Observatoire de l'Universite de Harvard ? </s>,1
Julius Nyerere,Julius Nyerere,question: Qui dirigeait la Tanzanie en 1967 ? </s>,1
l'aide sociale,la plupart des Acadiens décident alors de revenir,question: Qu'a provoque l'echec du regroupement des Acadiens dans les differentes zones de deportation ? </s>,1
parc technologique,un parc technologique,question: En quoi consiste le projet Cybertport  ? </s>,1
plus de 9 000,9 000 îles et îlots,question: combien compte-t-on d'iles greques ? </s>,1
fainéants,d'être fainéants,question: De quoi sont accuses les acadiens utilisant la technique des aboiteaux </s>,1
Maccabées,Dans le second livre des Maccabées,question: Ou la legende est-elle racontee ? </s>,1
parlement monocaméral,au moyen d’un scrutin partiellement majoritaire d,question: Comment les membres de la Chambre des deputes de Berlin sont ils elus ? </s>,1
Afghanistan,Afghanistan,question: Quel autre pays a suivi le projet de l'education de base ? </s>,1
128,128,question: Combien de listes ont ete presentees par LO en 2001 </s>,1
vers -500,vers -500,question: A quelle epoque est adoptee la ceramique ? </s>,1
laves basaltiques fluides,la mer,question: Qu'est ce qui a immerge le cratere ? </s>,1
guerres de l'opium,les Traités inégaux,question: Qu'est ce qui conduisit la Chine a repartir son territoire en 8 zones differentes ? </s>,1
brûle ce que contenait la cachette abandonnée,Elizabeth brûle ce que contenait la cachette abandonnée,question: Que fait Elizabeth pour prevenir les bateaux de la marine royale ? </s>,1
7 000,7 000,question: Combien de catholiques quittent Armagh ? </s>,1
Michel Jorant,général,question: Quel etait le titre du dernier dirigeant de la Direction de la securite militaire ? </s>,1
manque d’engouement pour la Wii U,"Toujours proche de ses développeurs, il estime que si",question: Pourquoi Satoru Iwata a-t-il decide de diminuer son salaire ? </s>,1
néo-gothique,néo-gothique,question: A quelle periode architecturale appartient la Nouvelle Bourse ? </s>,1
voulant qu'elle épargne l'univers,voulant qu'elle épargne l'univers,question: Pourquoi le scribe se sacrifie-t-il ? </s>,1
dans les années 1920,dans les années 1920,question: Durant quelle periode Jean Batmale jouait-il en equipe de France ? </s>,1
1046,1046,question: En quelle annee les abbassides abandonnent ils le chiisme ? </s>,1
Mascareignes,indépendamment devenues géantes,question: De quelle maniere les tortues sont-elles devenues tres grandes ? </s>,1
"le temps de reconnaissance, le temps de poursuite et",temps mis pour obtenir une proie,question: qu'est-ce que le temps de manipulation ? </s>,1
erreur historique il y a cinq siècles,double nationalité,question: Que permet la decision de naturalisation espagnole prise par Mariano Rajoy ? </s>,1
pl,champion du monde juniors dans l'épreuve par équipe,question: Quel titre obtient Florian Schillinger aux championnats du monde juniors de 2002 ? </s>,1
Ted Tonks,Nymphadora,question: Qui est la mere de Nymphadora Tonks ? </s>,1
Djibouti,En 1958,question: En quelle annee les TOM ont refuser de devenir independant ? </s>,1
bureau,Le bureau,question: Quelle piece a ete refaite a la fin du XVIIIeme siecle ? </s>,1
répliqué et traduit,posséder un génome à ARN monocaté,question: Comment il fait le virus pour se reproduire rapidement ? </s>,1
gros,Les ventes de gros,question: Quels types de ventes ne sont pas compris dans la liste des meilleures ventes d'Amazon ? </s>,1
2003-2004,le procès pénal n'a pas e,question: Quand s'est tenu le proces pour falsification de comptes ? </s>,1
le PCF,PSU,question: Avec quel parti politique LO s'est il associe en 1971 ? </s>,1
c'était savoir mourir lucidement,mourir lucidement,question: Comment savoir mourrir ? </s>,1
prolongement du tunnel piéton Chateau-Landon,le prolongement du tunnel piéton Chateau-Land,question: Qu'est-ce qui va pouvoir faciliter la correspondance entre le CDG Express et le RER E ? </s>,1
fond de l'océan Arctique,la masse d'algue se dépose au fond,question: Les algues deposees dans un environnement anodique se decomposent elles? </s>,1
27 mai 1920,27 mai 1920,question: Quand est ne James Marange ? </s>,1
