prediction,goldlabel,questions,passages_len
Michael Phelps,Michael Phelps,question: Quel est le plus grand medaille olympique ? </s>,2
Ambrosiana,Ambrosiana,question: Quel etait l’ancien nom de l’Inter ? </s>,2
pour permettre d'accueillir un plus grand nombre de p,pour permettre d'accueillir un plus grand nombre de p,question: Pourquoi le nouveau batiment a ete construit ? </s>,1
mieux contrôler la société et les courants de pensée,mieux contrôler la société et les courants de pensée,question: Que fait la societe Qin durant cette periode? </s>,1
"gardiens SS et, après 1943, d",gardiens SS,question: Qui etaient les geoliers des prisonniers durant les premieres annees du camp de concentration du Stutthof? </s>,2
se disent de droite,se disent de droite,question: De quel bord politique se considerent la majorite des votants LREM ? </s>,1
la décennie,la décennie,question: Combien de temps sera-t-il sur scene ? </s>,1
Elle admire particulièrement la chanteuse de jazz Ella Fitzgerald,Elle admire particulièrement la chanteuse de jazz Ella Fitzgerald,question: Doris Day et Ella Fitzgerald </s>,1
quinze ans,quinze ans,question: Combien de temps s'est ecoule entre le dernier titre du FC Internazionale Milano et le titre de 2006 ? </s>,1
néoclassique,néoclassique,question: Quel est le style du batiment ? </s>,1
"4,5 mètres",600 kilogrammes,question: Combien peut peser la femme leopard de mer ? </s>,1
La plupart des régions ultrapériphériques (RUP,La plupart des régions ultrapériphériques (RUP,question: Les RUP sont-ils des iles ? </s>,1
XXe congrès du Parti communiste de,XXe congrès du Parti communiste de,question: Quel evenement questionne Jean sur ses convictions? </s>,1
accessibilité et de disponibilité de la ressource,accessibilité,question: dans quoi figure le temps de manipulation ? </s>,1
747,747,question: De combien de communes la Norvege etait-elle composee a la dans les annees 30? </s>,1
Robert Owen,Robert Owen,question: Qui dirige la communaute de New Harmony ? </s>,2
en englobant les côtes de presque toute l,l'Afrique,question: Ou est Oran ? </s>,2
églises orthodoxes,églises orthodoxes,question: Quels batiments ont ete relativement bien preserves par l'epoque communiste ? </s>,1
véritable réservoir d'eau et de chaleur,véritable réservoir d'eau et de chaleur,question: Qu'est-ce qui est specifique a la craie ? </s>,1
évolution des sociétés et les revendications des,mariage civil,question: comment se traduit la reconnaissance legale de l’union homosexuelle ? </s>,2
une grande quantité de carbone doit être séquestrée,une grande quantité de carbone doit être séquestrée,question: Quelles sont les conditions permettant a l'algue d'impacter l'effet de serre? </s>,1
des dizaines de milliers de personnes,des dizaines de milliers de personnes,question: Combien de personnes travaillaient a la Ferme generale ? </s>,1
"Péricles, prince de Tyr","Péricles, prince de Tyr",question: Quel role jouera-t-il aupres de Nelly Borgeaud ? </s>,1
les Britanniques,les Britanniques,question: Qui les Francais affrontent ils pour conquerir la vallee de l'Ohio ? </s>,2
chacun jalousant les autres,chacun jalousant les autres,question: Pourquoi les relations entre les francais et les espagnols sont-elles mauvaises? </s>,1
un général et homme d'État ottoman,vizir,question: qui est Mehmed Pacha? </s>,2
le traité d'Utrecht,le traité d'Utrecht,question: Quel traite enterine la victoire de la Grande-Bretagne ? </s>,1
sur les révolutions urbaines à base ouvrière,sur les révolutions urbaines à base ouvrière,question: Sur quoi s'appuient les principes marxistes leninistes traditionnels ? </s>,1
la cour et à la Sorbonne,la cour et à la Sorbonne,question: Quels sont les deux lieux ou l'affaire est presentee ? </s>,1
Floride,en Floride,question: Dans quel etat se trouve Pensacola ? </s>,2
l'amiral Rodney,l'amiral Rodney,question: Quel grade fait barrage aux troupes du compte de Guichen ? </s>,2
pour prononcer une confiscation,pour prononcer une confiscation,question: Comment Philippe Auguste utilise t-il le droit feodal ? </s>,2
mois de ramadan,mois de ramadan,question: Quel mois debute apres la fin du mois de chaabane ? </s>,2
"pörkölt, paprikás,","pörkölt, paprikás,",question: Quels plats de viandes epicees sont prepares a partir de ces ingredients ? </s>,1
2001,2001,question: En quelle annee LO ne presente que des listes autonomes ? </s>,2
sangliers,sangliers,question: qui trouve les fausses truffes </s>,2
Madrid,il ne put y rester longtemps,question: Le frere de Napoleon Ier parvint-il a tenir durablement la capitale espagnole? </s>,1
quarante-quatre,huit,question: Combien de prisonniers ont echappe au massacre ? </s>,2
rouge,rouge,question: Quelle est la couleur historique ? </s>,2
1848,1848,question: En quelle annee sont fondes les departements francais d’Algerie ? </s>,2
2006-2007,le 28 février 2007,question: Quand s'acheve la serie de victoires obtenues par le FC Internazionale Milano ? </s>,1
à la fin de la saison 1962,à la fin de la saison 1962,question: Quand Porsche quitte le circuit de Formule 1 ? </s>,1
à Nagano au Japon,à Nagano au Japon,question: Ou sont organises les Jeux olympiques de 1998 ? </s>,1
les deux-tiers,les deux-tiers,question: Quelle part de l'esperance de vie d'un ray couvre une etude de deux ans ? </s>,1
capable de se déplacer,capable de se déplacer,question: La zone centrale du mycelium est-elle figee ? </s>,1
aux 1 000 kilomètres du Nürburgring,aux 1 000 kilomètres du Nürburgring,question: A quelle epreuve Hans Herrmann n'a-t-il jamais obtenu la premiere place ? </s>,1
23 050 kW,23 050 kW,question: Quelle est la puissance du Vizzavona ? </s>,1
mécanismes du système de gestion,mécanismes du système de gestion,question: qui assure la coherence des bases de donnees </s>,1
un certain nombre de molécules,un certain nombre de molécules,question: Qu'est-ce qui peut empecher la traduction ? </s>,1
Parisii,Parisii,question: Quelle famille etait implantee sur l'actuel Paris en 52 avant JC ? </s>,1
Este,à la maison d'Este,question: A quelle maison est apparente Carlo Gesualdo ? </s>,1
association minéralogique et paléontologique de Bogn,association minéralogique et paléontologique de Bogn,question: Quelle association joue un role important dans l'exploitation des fossiles ? </s>,1
former une armée chinoise moderne,former une armée chinoise moderne,question: Quelle est la finalite de l'academie militaire de Huangpu ? </s>,1
le dépôt formé par l'évaporation n,l'évaporation n'est pas une mutation de,question: Qu'a demontre Lavoisier a partir de 1774 ? </s>,1
SoundScan,SoundScan,question: Comment s'appelle le systeme qui permet d'agreger les ventes a partir des caisses enregistreuses ? </s>,1
14 juin 1830,14 juin 1830,question: Quelle fut la date du debarquement a Siri-Ferruch ? </s>,2
une condamnation,une condamnation,question: Quelle mesure la Cour europeenne des droits de l'Homme a t'elle prise a l'encontre de la Norvege? </s>,2
"hauts postes exécutifs, administratifs,","hauts postes exécutifs, administratifs",question: Quelles postes sont difficiles d'acces pour les chretiens ? </s>,1
négocier le pouvoir,négocier le pouvoir,question: Qu'est-ce que Lucifer cherche a faire aupres de Crowley ? </s>,1
Le développement de la musique en France a réellement commencé pendant,Le développement de la musique en France a réellement commencé pendant,question: Quand ont ete creees les maisons de disque ? </s>,1
Denis Mukwege,Denis Mukwege,question: A qi dedicace  t il le titre propose elite </s>,1
120,120,question: Quel est le nombre de Grecs decedes au court du voyage ? </s>,1
deux,deux,question: Dans combien d'endroits peut-on se faire osculter ? </s>,2
entre 209 et 323 mètres,entre 209 et 323 mètres,question: A quelle altitude se situe Minneapolis ? </s>,1
pour les dépenses liées à leur transport et,pour les dépenses liées à leur transport et,question: a quoi servait la dot des filles du roi ? </s>,1
l’Espagne et de l’Angleterre,l’Espagne et de l’Angleterre,question: Avec qui la France intervient-elle militairement ? </s>,1
Chacun hérite d'une partie du r,Chacun hérite d'une partie du r,question: Quelle est la caracteristique de la transmission dynastique dans le systeme merovingien? </s>,1
un certain Ronaldo,un certain Ronaldo,question: Au talent de quel joueur peut on comparer le talent d'Adriano ? </s>,1
ses salles sont un croisement des civilisations du monde,ses salles sont un croisement des civilisations du monde,question: Pourquoi dit-on que le musee Pouchkine ressemble au British Museum ? </s>,1
"une entrée, d'un plat garni e","une entrée, d'un plat garni e",question: Quels sont les trois elements du repas gastronomique des Francais ? </s>,1
La communauté roumaine,La communauté roumaine,"question: parmi les communautes d 'origine europeenne, quel est la communaute la plus nombreuse ? </s>",1
ses uvres de vulgarisation décrivant les troubles du,ses uvres de vulgarisation décrivant les troubles du,question: Quelles sont ses ouvrages les plus celebres ? </s>,1
au bois de Cormont,au bois de Cormont,question: A quel endroit commence la cote des blancs ? </s>,1
plaine de la Champagne,plaine de la Champagne,question: Qu'est-ce qu'il y a comme plaine pres des coteaux ? </s>,1
route départementale 47,route départementale 47,question: Quelle route passe entre Vireux-Molhain et Treignes ? </s>,1
"pour les territoires, les bases navales, la fourr","pour les territoires, les bases navales, la fourr",question: Pour quoi a lieu la competition ? </s>,1
Ouest algérien et sur une partie du sud,Ouest algérien et sur une partie du sud,question: Ou se situe l'autorite des ifrenides et des maghraouas </s>,1
"la sculpture, la vidéo, la performance, l'holographie","la sculpture, la vidéo, la performance, l'holographie",question: Quelles sont les types de techniques artistiques utilisees ? </s>,1
Chélidoine majeure,Chélidoine majeure,question: Citer la premiere designation mentionnee de la Chelidonium majus? </s>,1
l'Argentin Carlos Reutemann,l'Argentin Carlos Reutemann,question: Qui finit second de la competition ? </s>,1
Porsche,Porsche,question: Quelle ecurie a ete troisieme de la course </s>,2
gardées,dans d'étranges circonstances,question: Comment les 3 personnages sont-ils decedes ? </s>,1
tabac,tabac,question: Quelle etait la culture de la Martinique avant la canne ? </s>,2
troubadours et trouvères,troubadours et trouvères,question: Qui sont les representants du chant profane ? </s>,1
l'Éveil,l'Éveil,question: Quelle est le titre de l'adaptation de son roman  ? </s>,1
Wayne,Wayne,question: Qui reprend Stoney-Point aux americains ? </s>,2
favoriser les objectifs du protestantisme,favoriser les objectifs du protestantisme,question: Quel est le but de l'ordre d'orange ? </s>,2
Ferdinand,Ferdinand,question: Qui est proclame prince de Bulgarie ? </s>,2
Le refus du Congrès de l'aider,Le refus du Congrès de l'aider,question: A quelle difficulte s'est confrontee l'armee face aux institutions ? </s>,1
un type d'avocat du common law,un type d'avocat du common law,question: Qu'est ce qu'un solliciteur ? </s>,1
la colère de Richard II,la colère de Richard II,question: Qu'est ce que fuit les Normands ? </s>,1
les écoles,les écoles,question: Ou est en enseigne le francais au Royaume-Uni ? </s>,1
mauvaises conditions de vie et d'hy,mauvaises conditions de vie et d'hy,question: Quelles ont ete les differentes origines des deces au cours du voyage ? </s>,1
deuxième,deuxième,question: combien de coupe Stanley a remporte les devils ? </s>,1
"Graduellement, le système de camps du Stutth","Graduellement, le système de camps du Stutth",question: Comment evolua le camp de concentration au fur et a mesure? </s>,1
En dépit des promesses de certains gouverneurs britanniques,"Du côté des troupes insurgées, on recense de",question: Les insurges afro-americains ont-ils ete afranchis lors de la guerre d'independance des Etats-Unis ? </s>,1
cinq,cinq,question: Combien de matchs ont ete necessaires aux Rangers de New York pour venir a bout des Devils ? </s>,2
"29,53","29,27",question: Combien de jours separent deux nouvelles lunes au moment du solstice d'ete en moyenne ? </s>,1
TDS Racing,TDS Racing,question: Qui fait le meilleur temps ? </s>,1
"If de Kipling datant de 1895, ou Vita","If de Kipling datant de 1895, ou Vita",question: A quel genre de poeme ressemble Invictus? </s>,1
Singapour,Singapour,question: Sur quelle place-forte alliee se replierent les allies apres leur echec en Malaisie? </s>,2
blocs rocheux,partie émergée d'un ancien volcan,question: Quel type de structure geologique a cree cet espace insulaire ? </s>,1
"protestations d'attachement éternel, ser","Dans leur correspondance, officielle ou privée, ce ne sont",question: Qu'ecrivait Guesaldo dans ses lettres ? </s>,1
gratte-ciel staliniens,gratte-ciel staliniens,question: Quels batiments hauts ont ete construits sous l'epoque communiste ? </s>,1
12 milliards,12 milliards,question: Quel montant en 2019 </s>,1
choix des membres de ne pas renouveler leurs contrats,choix des membres de ne pas renouveler leurs contrats,question: Qu'est-ce qui a motive la separation du groupe ? </s>,1
Arnott,Arnott,question: qui a inscrit le but permettant la victoire de l'equipe ? </s>,1
Pompom,elle possède des capacités magiques,question: Poppy Pomfresh est elle une magicienne ? </s>,1
1812,1812,question: En quelle annee l'institution  ferme ses portes </s>,2
mouvement pour l'accueil des Elohim créateurs de,mouvement pour l'accueil des Elohim créateurs de,question: Que signifie MADECH ? </s>,1
vers la Norvège,vers la Norvège,question: Vers quelle destination le Vizzavona transporte-t-il les troupes francaises ? </s>,1
Roger Francq,Roger Francq,question: Quel est le dernier vice-president du club ? </s>,1
quatre,quatre,question: Combien de villages sont situes sur la cote des blancs ? </s>,2
le directeur technique de l'Inter Gabriele Oriali,le directeur technique de l'Inter Gabriele Oriali,question: Qui a ete condamne a la plus faible amende? </s>,1
protestant,protestant,question: Quelle etait la religion d’Agrippa d’Aubigne ? </s>,2
compositeur,compositeur,question: De qui alphonso Gesualdo est il l'oncle ? </s>,2
"Knut IV le Saint (1080-1086), la monarchie",Knut IV est assassiné,question: Qui a ete tue ? </s>,1
"Tino Edelmann, Christian Beetz et Björ","Tino Edelmann, Christian Beetz et Björ",question: Avec quels coequipiers Florian Schillinger obtient il le titre de champion du monde junior par equipe ? </s>,1
Shigeru Miyamoto,Shigeru Miyamoto,question: Quel chef d'entreprise japonais est paye plus que Satoru Iwata ? </s>,2
capitale des Gaules,capitale des Gaules,question: Qu'etait Lyon a l origine ? </s>,1
les angoisses collectives et la haine du géant,les angoisses collectives et la haine du géant,question: Sur quel ressort repose l'agitation mediatico-politique ? </s>,1
Franz Stangl,Franz Stangl,question: Qui etait le commandant de Treblinka ? </s>,2
"Rome qui est, avec ceux de la Terre sainte (Jé","Rome qui est, avec ceux de la Terre sainte (Jé",question: quels sont les 3 principaux lieux de pelerinage chretiens  ? </s>,1
il ne s'agit plus à proprement,énerve,question: Est-ce que des gens se disputent dans ce texte ? </s>,1
vis-à-vis de ses partenaires européens,vis-à-vis de ses partenaires européens,question: Vers quels pays l'ouverture de l'economie francaise se manifeste t-elle? </s>,1
Azandes,Azandes,question: quelle tribu pratiquait le mariage homosexuel transgenerationnel? </s>,2
algue d'eau douce,algue d'eau douce,question: De quelle type de plante s'agit-il? </s>,1
premier organisme aéronautique européen,premier organisme aéronautique européen,question: A quelle echelle se positionne l'ecole ? </s>,1
portion de l'Arctique,portion de l'Arctique,question: Que reclame le canada ? </s>,2
en 1849,en 1849,question: Quand le texte qui donne a la Chambre de Commerce un role de surveillance a-t-il ete publie ? </s>,2
Miklós Barabás,Miklós Barabás,question: Qui est le premier peintre hongrois a etre devenu celebre dans son pays ? </s>,1
Finneagle,Finneagle,question: Quel etait le premier nom du Vizzavona ? </s>,1
désiré et refusé,désiré et refusé,question: Quel lien entretient Roger avec sa mere ? </s>,1
par le suffrage de ses concitoyen,par le suffrage de ses concitoyen,question: Comment le chef d'une escouade etait il choisi ? </s>,1
champion de la Ligue du Nord,champion de la Ligue du Nord,question: Quel titre le club remporte-t-il avant d'integrer la Division Nationale ? </s>,1
Qing,Qing,question: Quelle est la derniere dynastie chinoise ? </s>,2
Micmacs,Micmacs,question: Quel peuple natif est venu soutenir les explorateurs ? </s>,1
Britanniques,Britanniques,question: qui perdit la bataille ? </s>,2
118,118,question: Combien de listes independantes LO a t il conduit </s>,2
les grenetiers,"par les grenetiers, des agents royaux qui",question: Qui gere la gabelle ? </s>,2
concours de pêche sportive,concours de pêche sportive,"question: Quelle activite propose l'association ""Ulis Peche Passion"" ? </s>",1
En mai,En mai,question: Quel mois se courent les 4 jours de Dunkerque ? </s>,2
sept reprises,sept reprises,question: Combien de C1 le Milan AC a-t-il remporte ? </s>,1
les frontières de la Géorgie,les frontières de la Géorgie,question: Quel est le theatre des operations retenu par les Turcs? </s>,1
Josué,Josué,question: Qui s'ecroule face a l'arche d'alliance ? </s>,1
professeurs,professeurs,question: Quelle est la profession des geniteurs de paul ? </s>,1
nord-ouest du Zoulouland,nord-ouest du Zoulouland,question: Quelle est la zone d'action du colonel Wood? </s>,2
continent sud-américain,continent sud-américain,question: Ou se trouve la Guyane ? </s>,1
tentèrent de couvrir la fuite des blessés e,tentèrent de couvrir la fuite des blessés e,question: Quel etait l'objectif a ce moment de la bataille pour les blancs? </s>,1
à sa première course,"il participe à sa première course,",question: Dans quelle ville court-il sa premiere competition ? </s>,1
1947,1947,question: Quand a eu lieu la partition des Indes ? </s>,2
la loi de protection des femmes,la loi de protection des femmes,question: Que fait voter Musharraf en 2006 ? </s>,2
Néerlandais,Néerlandais,question: De quelle nationalite est Peter Post ? </s>,1
Basilique Sainte-Croix-de-Jé,la Basilique Sainte-Croix-de-J,question: quelles sont les 3 basiliques mineures de rome ? </s>,1
proies accessibles,les plus grosses,question: Quel type de proies les animaux chassent ? </s>,1
étés,étés,question: A quelle saison ont ete compose les 3 dernieres œuvres de Mahler ? </s>,1
Santi Cazorla,Santi Cazorla,question: Qui a marque un but sur penalty ? </s>,2
"0 %, 2 %, 10 %, 10","0 %, 2 %, 10 %, 28",question: Quelles sont les correspondances des six intensites de couleurs dans le standard LCD ? </s>,1
les industries de biens de luxe ont été mises sous le,La cour royale française s'est alors progressivement éri,"question: Au niveau du systeme monarchique, quelle autre consequence eu l'acquisition par la France d'une place preponderante dans la mode? </s>",1
comte de Paris,comte de Paris,question: Quelle etait la position d'Eudes avant qu'il ne devienne roi? </s>,2
Rogers,sur Rogers,question: Sur qui Erskine teste-t-il le serum ? </s>,2
républicaines,républicaines,question: Quelle est la forme instiutionnelle des Etats Unis ? </s>,1
Latium,Latium,question: Dans quelle region d'Italie la ville de Rome se situe-t-elle? </s>,2
Fleur Delacour,Fleur Delacour,question: Qui epouse Bill Weasley ? </s>,2
la garnison britannique,la garnison britannique,question: Qui les americains ont-ils epargnes ? </s>,1
une reprise significative de l'activité de négociation,une reprise significative de l'activité de négociation,question: Quel a ete l'effet de l'ensemble des mesures prises par la Bourse de Breme ? </s>,1
Modène,Modène,question: Dans quelle ville d'Italie Riccardo Ricco est-il admis aux urgences? </s>,1
"monde urbain, avec l'artisanat et le commerce","monde urbain, avec l'artisanat et le commerce",question: Qu’est ce qui est important pour cette societe? </s>,1
progrès scientifiques et industriels,progrès scientifiques et industriels,question: A quoi doivent se comparer ou s'associer les references artistiques du surrealisme ? </s>,1
floraison,floraison,question: Quel evenement intervient aux deuxiemes et troisiemes trimestres de l'annee ? </s>,1
crimes,crimes,question: Quel type d'acte peut mener a la mise en place d'une procedure d'impeachment? </s>,2
Harry et Hagrid,Harry et Hagrid,question: Qui vient se cacher chez ted? </s>,1
favorisent les transferts multidirectionnels de nutri,favorisent les transferts multidirectionnels de nutri,question: Que permettent de faire les reseaux mychoriziens ? </s>,1
Bond,Bond,question: Qui tue Chang ? </s>,1
1970,1970,question: En quelle annee le CORT disparait-il ? </s>,2
les pouvoirs administratifs et militaires,pouvoirs administratifs et militaires,question: Quels pouvoirs Charles le Chauve confia t'il aux princes? </s>,2
routes radiales,routes radiales (prospekt,question: Comment sont relie Moscou et ses regions voisines ? </s>,1
car les Loyalistes se sont établis,car les Loyalistes se sont établis,question: Pourquoi les citoyens du Madawaska sont-ils privilegies ? </s>,1
un mode d'évolution linéaire sur le modèle,un mode d'évolution linéaire sur le modèle,question: Qu'est-ce qu'on reprochait aux anciens courants de l'anthropologie ? </s>,1
les Vendéens,les Vendéens,question: Qui etaient les antagonistes des forces republicaines? </s>,1
les individus ayant un coefficient intellectuel supérieur de,individus ayant un coefficient intellectuel supérieur de 50,question: Quel est le critere de selection pour etre eligible selon le mouvement raelien ? </s>,1
Philippe Le Bel,Philippe Le Bel,question: Qui a envoye des emissaires contre le pape ? </s>,1
Pour échapper aux violences,Pour échapper aux violences,question: Pourquoi les syriens ont ils fui durant la crise syrienne ? </s>,1
La Mort de la tragédie,La Mort de la tragédie,question: Dans quel livre George Steiner a-t-il proclame la fin de l'essence du tragique dans la litterature ? </s>,1
rejet,rejet,question: quelle etait la position de la France en 1954 relativement au traite creant la communaute de defense </s>,2
la musique tzigane,la musique tzigane,question: A quelle tradition musicale la musique hongroise est elle associee ? </s>,2
recruteurs de la NBA,recruteurs de la NBA,question: Qui observent les joueurs lors de matchs de la G League ? </s>,2
des systèmes experts,par rapport aux objectifs,question: A partir de quoi le controle du rendement est-il fait ? </s>,1
balbale qui ont la forme de dialogues,balbale,question: Quelles sont les differentes familles de genre hymnique au cours de la troisieme dynastie d'UR ? </s>,1
égal,égal,question: quelle est la difference de statut entre l'anglais et le francais au Canada ? </s>,1
le roi était l’image de Dieu sur terre,le roi était l’image de Dieu sur terre,question: Que pense Du Bosc du droit divin ? </s>,1
Jean-André Michel,Jean-André Michel,question: Qui est le grand-pere de Louis Cheynet ? </s>,1
Shanghai,Shanghai,question: Ou s'est tenue l'exposition universelle de 2010 ? </s>,2
Dailymotion,Dailymotion,question: Sur quelle plateforme les Guignols de l'info sont ils diffuses ? </s>,2
Stablinski,Stablinski,question: Qui est le principal adversaire de Poulidor ? </s>,2
partout,partout,question: ou sont presents les artistes africains </s>,2
Stade Giuseppe-Meazza,Stade Giuseppe-Meazza,question: Quel est l'autre nom de San Siro ? </s>,2
en accentuant ses mouvements,en accentuant ses mouvements,question: De quelle maniere marche-t-il dans son atelier ? </s>,1
commandant en chef de l'armée britannique en,commandant en chef de l'armée britannique en,question: Quelle est la fonction de Jeffery Armherst ? </s>,1
dans l'école de son père,dans l'école de son père,question: Dans quelle ecole va Edward Dickinson Baker ? </s>,1
élargissement de sa circonférence,élargissement de sa circonférence,question: Quelle a ete la consequence de cet effondrement ? </s>,1
la campagne prochaine,la campagne prochaine,question: Jusqu'a quand les americains doivent-ils reporter l'envoi d'aide aux patriotes du sud ? </s>,1
problème de radio,problème de radio,question: Pourquoi la seance d'essai du vendredi a ete ecourtee </s>,1
la NBA Development League,une véritable ligue mineure permettant aux plus jeunes joueurs de,question: La NBA Development League c'est quoi ? </s>,1
à Long Island,à Long Island,question: Ou est installe l’architecte ? </s>,1
Nouveau-Brunswick,Nouveau-Brunswick,question: Quelle province canadienne est officiellement bilingue ? </s>,2
747 Canadiens prirent les armes pour,747 Canadiens prirent les armes pour,question: De quelle aide les insurges americains ont-ils beneficie au tout debut de la guerre d'independance ? </s>,1
7 500,7 500,question: Combien d'eleves sont formes par an ? </s>,1
cap Cod,cap Cod,question: Quelle l'extremite sud atteinte par la campagne d'exploration? </s>,1
Service de sécurité militaire,Service de sécurité militaire,question: Qu'est ce que le SSM ? </s>,1
sur une jambe,nous montrent des patients capables de s'adapter,question: De quoi parle son livre ? </s>,1
Zytek britannique,Phil Keen,question: Qui prend la deuxieme place ? </s>,2
Bares y fondas,Bares y fondas,question: Quel est le premier titre de l'album de Los Fabulosos Cadillacs ? </s>,2
créant même de toutes pièces des « costumes nationaux,créant même de toutes pièces des « costumes nationaux,question: Quelle strategie les gouvernements post-independance ont mis en place pour mettre fin aux coutumes traditionnelles? </s>,1
sporophore,sporophore,"question: En quoi consiste reellement ce qui est couramment appele ""champignon"" ? </s>",2
le 1er chawwal 1426,le 1er chawwal 1426,question: A quelle date du calendrier hegirien correspondait au 3 novembre 2005 dans le calendrier gregorien en Egypte ? </s>,1
1989,1989,question: De quand datent leurs missions ? </s>,2
1945,1945,question: En quelle annee le club a-t-il repris son appelation d’origine ? </s>,1
trois,trois,question: Combien de formes differentes sont utilisees pour designer le gouvernement de Tiraspol ? </s>,2
les Antilles,de France,question: D'ou venait l'aide envoyee a Rochambeau ? </s>,2
"religieuse, politique, culturelle et sociale","religieuse, politique, culturelle et sociale",question: Quels sont les diverses sujets dont s'empare l'ordre d'orange ? </s>,2
1801,1801,question: En quelle annee les Americains doivent faire face a un bas niveau de reserves d'eau ? </s>,1
"la postulation, le conseil, la rédaction d'acte","la postulation, le conseil, la rédaction d'acte",question: Quelles sont les principales fonctions du solliciteur ? </s>,1
réduction de la diversité génétique,réduction de la diversité génétique,question: Quel est le probleme engendre par la selection clonale ? </s>,1
sept buts,sept buts,question: Combien de buts a encaisse Martin Brodeur lors des series ? </s>,1
"Juan Manuel Fangio, Karl Kling, Hermann Lang e","Juan Manuel Fangio, Karl Kling, Hermann Lang e","question: Outre Hans Herrmann, qui sont les membres de l'ecurie Mercedes-Benz en 1954 et 1955 ? </s>",2
Sainte-Marie-de-Sion,Sainte-Marie-de-Sion,question: Comment s'appelle l'eglise ou serait conservee l'Arche d'alliance dans la tradition ethiopienne ? </s>,2
une quête de nourriture,par une quête de nourriture,question: Comment finance-t-on l'energie des especes animales ? </s>,1
la même seconde,la même seconde,question: Combien de temps y a t il entre la voiture de tete et la voiture qui ferme la marche ? </s>,1
transport aérien,les activités du transport aérien,question: Quelle est le type de formation specifique de l'ENAC ? </s>,1
six kilomètres au sud-ouest de Palaiseau,six kilomètres au sud-ouest de Palaiseau,question: A combien de kilometres de Palaiseau sont situes les Ulis  ? </s>,1
Armand Trousseau,Armand Trousseau,question: Quel professeur de Lasegue joua un role determinant dans sa carriere ? </s>,1
la seconde couverture de la publication,la seconde couverture de la publication,question: Ou sont affichees les listes du comite editorial et du comite de lecture ? </s>,1
scorbut,scorbut,question: Quel fleau decime regulierement les premiers residents du territoire francais du Nouveau Monde? </s>,1
quatre millions de kilomètres carrés,quatre millions de kilomètres carrés,question: Quelle surface maximale de diffusion a eu l’algue Azolla ? </s>,1
cubistes,cubistes,question: De quel mouvement artistique est issu Leonide Massine ? </s>,1
les catastrophes ferroviaires sont fréquentes,les catastrophes ferroviaires sont fréquentes,question: Est-ce qu'il y a des accidents dans le reseau de transports pakistanais ? </s>,1
Le contrôle des campagnes restait difficile,Le contrôle des campagnes restait difficile,question: Quelles zone d'Espagne echappaient au pouvoir central? </s>,1
six années,six années,question: Combien de temops Francoise est-elle restee en Martinique ? </s>,1
l'aide sociale,l'aide sociale,question: Quel dispositif permet aux deportes d'avoir les moyens de vivre ? </s>,1
Claire Benedict,Claire Benedict,question: Quelle actrice interprete le personnage d'Iyaloja dans la premiere muse en scene de la piece ? </s>,1
prennent sa déposition et l'en,prennent sa déposition et l'en,question: que peuvent proposer les commissariats de police ? </s>,1
Le maréchal Ion Antonescu,Le maréchal Ion Antonescu,"question: Qui surnomme t-on le ""Petain roumain"" </s>",1
navire commence déjà à montrer des signes de dé,navire commence déjà à montrer des signes de dé,question: Quel est l’etat du navire ? </s>,1
Juárez,Juárez,question: Qui etait chef du gouvernement en 1861 ? </s>,1
une meilleure visibilité et une bonne acoustique,une meilleure visibilité et une bonne acoustique,question: Qu’apporte cette technique de construction ? </s>,1
le 2 septembre,le 2 septembre,question: Quand se deroule le championnat du monde ? </s>,1
"des briqueteries, dans l'industrie privée,","des briqueteries, dans l'industrie privée,",question: A quels secteurs d'activite pouvaient etre affectes les detenus? </s>,1
"depuis 2011, Mayotte sont des départements et régions","depuis 2011, Mayotte sont des départements et régions",question: En quelle annee Mayotte est-elle devenue un departement d'outre-mer ? </s>,1
les différences spectroscopiques entre les étoile,les différences spectroscopiques entre les étoile,question: Qu'est ce qui manque dans l'etude ? </s>,1
isoler la Nouvelle-Angleterre des autres régions en,isoler la Nouvelle-Angleterre des autres régions en,question: Quel a ete l'enjeu des loyalistes a propos de la Nouvelle Angleterre lors de la guerre d'independance des Etats-Unis ? </s>,1
fortement opposé,fortement opposé,question: Quelle etait la position des colons par rapport a l'art corporel? </s>,1
Des fumerolles et des sources chaudes,Des fumerolles et des sources chaudes,question: Qu'est ce qui indique une activite volcanique ? </s>,1
Matt Sydal,Matt Sydal,question: qui est l'adversaire de Fenix lors de son premier combat? </s>,1
"Les membres du Hezbollah, s'activent","Les membres du Hezbollah, s'activent",question: Quel protagoniste du conflit apporte son aide ? </s>,1
un fort courant d'électeurs préférerait voter,un fort courant d'électeurs préférerait voter,question: Pourquoi LO s'associe-t-elle avec la ligue communiste revolutionnaire ? </s>,1
gouverneur séleucide de la satra,gouverneur séleucide de la satra,question: En l'honneur de qui la statue a-t-elle ete construite ? </s>,1
268 m au-dessus du niveau de la mer,268 m au-dessus du niveau de la mer,question: A quelle altitude l'ile culmine-t-elle ? </s>,1
Libération,l'arrivée des Allemands,question: Quel evenement a provoque l'evacutation de l'ecole des officiers d'artillerie a Fontainebleau ? </s>,1
un marais ou une zone marécageuse,un marais ou une zone marécageuse,question: Que signifie la racine slave de Berlin ? </s>,1
Yousssouf Raza Gilani,Youssouf Raza Gilani,question: Qui etait Premier ministre du Pakistan avant Raja Pervez Ashraf? </s>,2
