prediction,goldlabel,questions,passages_len
acides amines,triplets de nucléotides,question: Que sont les codons ? </s>,1
la terre entre la montagne et la mer,c'est,question: que veut dire c en langage texto? </s>,1
femme qui guerit les maladies,une femme qui guérit les maladies (humaines e,question: Qui est la Sagesse du village ? </s>,1
Toyota TS050 Hybrid,TS050,question: Quel est le modèle de Toyota qui s'est placé en première place ? </s>,1
mobilite,automobile,question: Quel est le secteur d'activité de PSA ? </s>,1
pate ronde et plissee,une pâte ronde et plissée,question: A quoi ressemble le crouzet dans la vallée de l'Ubaye ? </s>,1
colonne du flanc gauche,la colonne du flanc,question: Quelle composante de la force d'invasion britannique commandait le colonel Pearson? </s>,1
tout leur cycle de vie,tout leur cycle de vie,question: Quelle est la durée du développement des Elaphomyces ? </s>,1
en acceptant son offre de mariage,en acceptant son offre de mariage,question: Comment Elizabeth persuade Norrington de sauver Will ? </s>,1
n’ont guere ete touches par la,ont continué leurs activités de façon ininterrompu,"question: Après 1969, comment les surréalistes ont-ils réagi ? </s>",1
Taiwan,l'île de Tawan,question: Où s'est réfugié le gouvernement du Kuomintang ? </s>,1
depuis 2000,depuis 2000,question: Depuis quand le secteur des telecommunications s’améliore en Algerie? </s>,1
neoclassique,néoclassique,question: Quel est le style du bâtiment ? </s>,1
Paris a Lutece,Lutèce,question: Comment s'appelait Paris au temps de la Gaule ? </s>,1
L'annee,juin,question: En quel mois de l'année 2013 a-t-on commémoré en France l'arrivée des Filles du Roy ? </s>,1
Chandrasekhar,la Royal Astronomical Society,question: Qui donna les articles à Eddington ? </s>,1
luxuria et l'indol,trois décennies,question: Quelle a été la durée de la période de paix après le traité d'Utrecht ? </s>,1
"Chypre (), l'Autriche (),",Danemark,question: Quels pays frontaliers se situent au sud de l'Allemagne? </s>,1
Jean Cocteau,Jean Cocteau,question: qui dédouble la représentation </s>,1
Rhemuth la splendide,Rhemuth la splendide,question: Comment est surnommée la capitale du royaume de Gwynedd ? </s>,1
reprendre MGM,dans une tentative de reprendre MGM,question: Quel était l'objectif de Ted Turner en achetant les films de MGM ? </s>,1
Shareef Abdur-Rahim,Shareef Abdur-Rahim,question: Qui est le président de la G League? </s>,1
Martorelli,Martorelli,question: Qui importait l’UAZ ? </s>,1
1990,partir de 1990,question: Depuis quand la bourse de Brême a-t-elle adopté le programme BIFOS ? </s>,1
ne desirant pas se séparer d’un,fière,question: Que pense l'église de Caen de Du Bosc ? </s>,1
I Dreamed a Dream,"Le premier album de Susan Boyle, I Dreamed a",question: Quelle est la chanson la plus vendue sous le label Syco Music ? </s>,1
maire de la municipalite de Shanghai,maire de la municipalité de Shanghai,question: Quel poste occupe Han Zheng ? </s>,1
Ducks d'Anaheim,Ducks d'Anaheim,question: Contre qui a eu lieu la finale d'association ? </s>,1
Jeanne Birkin,Jeanne Birkin,question: Qui est la mère de Kate Barry ? </s>,1
les questions en recourant a des expériences speciale,expériences spéciales,question: que n'étudie pas la philosophie pour peirce? </s>,1
Dudley Dursley,Dudley,question: Qui est le cousin de Harry ? </s>,1
quarantaine a deux cent cinquante,allant d'une quarantaine à deux cent cinqu,"question: Combien étaient les Normands sous la conduite de ""Rudolfus"" ? </s>",1
Eloi Leclerc,Marie Kerouanton,question: Qui étatit la mère d'Edouard Leclerc ? </s>,1
"en hausse de 6,26 %",baissait de 3 % (toute production confond,question: Quelle est l'évolution de la production du secteur automobile russe en 2005 ? </s>,1
l’histoire est a chaque epoque,évite la falsification et la hont,question: Qu'est-ce que doit faire le récit historique selon Arlette Farge? </s>,1
dollar americain ou l'euro,euro,question: Quelle est la monnaie de référence dans le Système monétaire international? </s>,1
bleue,bleue,question: Quelle est la couleur des Supermarine Spitfire? </s>,1
leurs victoires sont inscrites la plupart du temps,inscrites la plupart du temps sur leurs épi,question: qu'est-ce qui indique que les victoires des athlètes étaient source de fierté </s>,1
"5,72 %","5,72 %",question: Combien de voix obtient arlette Laguiller en 2002 ? </s>,1
Allemagne,les troupes allemandes,question: qui envahit l'Union soviètique ? </s>,1
fond de l'ocean Arctique,la masse d'algue se dépose au fond,question: Les algues déposées dans un environnement anodique se décomposent elles? </s>,1
en 1963,1963,question: Quand est-ce que l'OUA a été créée ? </s>,1
Le Gendarme de Saint-Tropez,Saint-Tropez,question: Où se déroule le film Et Dieu... créa la femme ? </s>,1
devant les sans-culottes,acceptant l'humiliation de porter le bonnet,question: le roi accepte-il de porter le bonnet phrygien? </s>,1
independance,indépendance,question: Quel est le statut du royaume ibadite par rapport au califat des Abbassides ? </s>,1
"executifs, administratifs et politiques","hauts postes exécutifs, administratifs",question: Quelles postes sont difficiles d'accès pour les chrétiens ? </s>,1
femmes de reconfort,Femmes de réconfort,question: Quel était le nom donné aux victimes de l'esclavage sexuel japonais? </s>,1
Georges Truffaut,Léopold,question: Quel est le roi des Belges en 1936 ? </s>,1
"Lyon, ni Pentagone, ni Hiroshim","Lyon, ni Pentagone, ni Hiroshim",question: Quel est le slogan utilisé par le Garm pour dénoncer cette transformation? </s>,1
pour qu'il se baisse et passe a la grande,pour qu'il se baisse,question: Pourquoi Hans Herrmann frappe l'arrière du casque d'Herbert Linge ? </s>,1
elu grace a sa determination,Satoru redressera les finances de Nintendo,question: Comment Satoru a pu sauver des emplois comme son père ? </s>,1
par les communautes afro-americaines,années 1980,question: quand s'est développé le beatboxing? </s>,1
1 euro,1,question: Combien de bus Perpignan inscrit-il face au CORT ? </s>,1
Marina Tsvetaeva,le père de la poétesse Marina Tsveta,question: Qui a créé le musée des beaux-arts Pouchkine ? </s>,1
privatisation du marche des telecommunications,la privatisation du marché des télécommunications,question: Qu’est qui a change pour le reseau des telecommunications en Algérie dans les années 2000? </s>,1
Io,Io,question: Quel est le satellite de Jupiter contraint à des forces de marées colossales ? </s>,1
Histoire du pays et des peuples qui se sont install,Al-Andalus,question: Quel moment historique influe sur la culture portugaise ? </s>,1
Chine,monde iranien,question: Où est pratiqué le mazdéisme ? </s>,1
croyance anti-nominaliste de la realit,positivisme,question: à quoi peut-on rapprocher le pragmatisme de peirce? </s>,1
a la Cour,avoué à la Cour,question: quelle est la profession de louis marguery? </s>,1
communiquer,communiquer,question: Quelle était l'intention principale des Beatles ? </s>,1
Britanniques,Cameroun,question: Quel pays est associé aux tribus nomades Bakas ? </s>,1
Parti communiste francais,Parti communiste français,question: A quel parti politique se rallie les surréalistes un certain temps ? </s>,1
10 gallions,10 Gallions,question: Pour combien Beurk acheta le médaillon en or ? </s>,1
Civile francaise,civile,question: Quelle est le type d'aviation visée par l'ENAC ? </s>,1
Rugby Hebdo,XV de France,question: Comment appelle-t-on communément l'équipe de France de rugby ? </s>,1
cur des intrigues,la prise de la Bastille,question: Que s'est-il passé en juillet 1789 ? </s>,1
l'Atalanta,Bergame,question: Quelle équipe l'emporte contre la Juventus au moment où l'Inter fait match nul contre Palerme ? </s>,1
Ceylan,dans un camp britannique sur l'île de Ceylan,question: Où a été déporté Johannes Prinsloo ? </s>,1
il ne comportait quasiment jamais d',"comportait quasiment jamais d'embranchements,",question: Est-ce que le dédale était compliqué ? </s>,1
Si la combinaison d'evenements genetiques résulte en,la combinaison d'événements génétiques résulte,question: Dans quel cas parle-t-on de 'maladie synthétique' ? </s>,1
arrondissements,l'Afrique,question: Où est Oran ? </s>,1
1849,en 1849,question: Quand le texte qui donne à la Chambre de Commerce un rôle de surveillance a-t-il été publié ? </s>,1
Afrique,toute l'Afrique,question: Sur quel continent se trouvait le léopard au départ ? </s>,1
du service public de l'enseignement,service public de l'enseignement,question: De qui relève la surveillance des enfants? </s>,1
Andre Serot,dirigé par le colonel André Sérot,question: Qui a commandé le SSFA en 1948 ? </s>,1
Insee des Hauts-de-Seine,Racing Métro 92,question: quel était le nom de Racing 92 précédemment ? </s>,1
Championnat de France,championnat de France,question: Au sein de quel championnat le CORT rencontre-t-il Marseille ? </s>,1
Jacques Fouroux,Jacques Fouroux,question: En 1980 qui est nommé sélectionneur de l'équipe de France de rugby ? </s>,1
novembre,en avril,question: Quand se déroule le tour de Belgique ? </s>,1
une coudee et demie,une coudée et demie,question: Quelle est la largeur du propitiatoire ? </s>,1
inhibiteur de PARP,inhibiteur de PARP,question: Que cible la thérapie ayant reçu l'aval de la FDA en 2016 ? </s>,1
Les techniques d'images doubles,techniques d'images doubles,question: Sur quelles techniques travaillait Dali pour réaliser L'Homme invisible ? </s>,1
chant jazz,scat,question: comment s'appelle la technique d'impro de jazz qui consiste à faire des onomatopées? </s>,1
prince de Navarre,Henri IV,question: Comment sera renommé Henri III dans le futur ? </s>,1
la repetition générale,la répétition générale,question: Trois musiciens meurent avant quoi? </s>,1
1319,1320,question: Quand est-ce que la croisade de philippe v a débuté ? </s>,1
De Stahl et de sa doctrine médicale,De Stahl et de sa doctrine médicale,question: Quel était le sujet de la thèse de Lasègue ? </s>,1
La letalite synthetique,identification d'interactions géniques qui fonctionnen,question: Comment la létalité synthétique permet-elle d'identifier des schémas de mise en mémoire tampon ? </s>,1
lors des Six Jours de Paris 1984,lors des Six Jours de Paris 1984,question: Comment Mauro Ribeiro rencontre t-il Abel Roux ? </s>,1
autorites espagnoles,majorité de Turquie,question: Qui demande le plus a être naturalisé espagnol depuis la décision de Mariano Rajoy ? </s>,1
nazi,nazie,question: quelle est le régime allemand dans les années 40 ? </s>,1
ordre religieux militaire,ordre religieux militaire,question: Que sont les Chevaliers Michaélites ? </s>,1
Grigore Maior,l'évêque Grigore Maior,question: Qui finança la construction de l’église Saints-Pierre-et-Paul de Sibiu ? </s>,1
Wolfsbourg,Wolfsbourg,question: Sur les terres de quelle château a été construite la ville de KdF-Stadt ? </s>,1
Pere Tanguy,père Tanguy,question: qui permet à cézanne d'exposer en Espagne en 1866? </s>,1
Hans Ferdinand Mayer,Mayer,question: qui écrit le rapport d'oslo </s>,1
"World Wide Web, courriel",World Wide Web,question: Quelle est l’application qui a démocratisé internet? </s>,1
contrebalance par un pragmatisme antisceptique,opinion actuelle,question: qu'est-ce que le faillibilisme? </s>,1
coureur cycliste francais d'origine pol,coureur cycliste français,question: Stablinski était il sportif ? </s>,1
caverne creusee,une caverne,question: Que trouve t on sous le mont Landeskrone </s>,1
dialecte derive de l'allemand,dialecte dérivé de l'allemand,question: C'est quoi le Hunsrückisch? </s>,1
"chimiste, philosophe et economiste","chimiste, philosophe et économ",question: Quelles sont les disciplines Antoine Lavoisier pouvait enseigner ? </s>,1
"meurtre, torture et actes de barbarie","trafic de stupéfiants, enlèvement",question: pouvez-vous citer trois domaines en matière de criminalité organisée </s>,1
"executifs, administratifs et politiques","aux hauts postes exécutifs, administratifs",question: Quelles postes sont difficiles d'accès pour les chrétiens ? </s>,1
"le juge constitutionnel se refuse aujourd'hui, de fait",respect de la souveraineté populaire,"question: pourquoi le conseil constitutionnel n'etudie pas une loi referendaire , </s>",1
mysticetes primitifs,baleines à fanons,question: A quel groupe appartiennent les fanons ? </s>,1
quelques minutes a peine,quelques minutes,question: Quel temps faut-il pour se rendre à Bruxelles depuis Tour et Taxis ? </s>,1
armee ougandaise,Isral,question: qui est pierre de touche dans la guerre des six jours </s>,1
l'emploi d'une relativement detachee,l'emploi d'une écriture relativement détachée,question: Qu'est-ce qui rend possible d'écrire de manière similaire des langues et des dialectes très différents ? </s>,1
l'héritage paternel,comte de Paris,question: Quelle était la position d'Eudes avant qu'il ne devienne roi? </s>,1
eglise,les figures usées de Thésée et du Minot,question: Que peut on trouver dans le labyrinthe de Lucques ? </s>,1
quatre millions de kilometres carres,quatre millions de kilomètres carrés,question: Quelle surface maximale de diffusion a eu l’algue Azolla ? </s>,1
SC Magdebourg,SC Magdebourg,question: Contre qui le club s'incline-t'il en huitième de finale en 2006/2007 ? </s>,1
aride,aride,question: Quelle est la caractéristique climatique du Nord de la Chine ? </s>,1
Vicentico,Vicentico,question: Sous quel nom le chanteur Gabriel Fernandez Capello est-il connu ? </s>,1
septieme marine,visites de ports étrangers,question: La marine indienne se déplace-t-elle hors du territoire indien ? </s>,1
"ingenieur autrichien, pionnier du moteur",un ingénieur autrichien,question: Qui est Anselm Franz </s>,1
Tokay,vins blancs liquoreux de type Tokay,question: Quel type de boisson est servi à l'apéritif ? </s>,1
en francais,en Belgique,question: Où se déroule le circuit des 3 villes sœurs ? </s>,1
policier,policier,question: Quel métier exerce Charlie ? </s>,1
plusieurs metres carres,plusieurs mètres carrés (exceptionnellement plusieurs hectares,question: Sur quelle surface peut s'étendre le mycélium souterrain ? </s>,1
la ville de Bejaia (sa capitale),la ville de Béjaa (sa capitale,question: Que comprend l'Etat des zirides ? </s>,1
Devils du New Jersey,Devils du New Jersey,question: Quelle équipe repêche Brodeur ? </s>,1
2014,2014,question: quand a été découvert Laquintasaura venezualae ? </s>,1
Kountsevo et Serebriany Bor,Kountsévo et Sérébriany,question: Quels sont les quartiers les plus récents de Moscou ? </s>,1
Universite de Lagos,à l'Université de Lagos,question: Où a eu lieu la représentation pour l'anniversaire du dramaturge ? </s>,1
National Physical Laboratory,National Physical Laboratory,question: A qui appartient la balance de Kibble ? </s>,1
Stephane Mallarme,Stéphane Mallarmé,question: Quel poète a traduit la nouvelle Le Corbeau de Poe ? </s>,1
Tarnovo,à Tarnovo,question: Où l'assemblée nationale bulgare se réunit-elle ? </s>,1
Suisse,Saint-Moritz,question: Où se trouve le championnat du monde en 2003? </s>,1
dans toutes les parties de la plante,dans toutes les parties de la plante,question: Où sont les glucosinolates </s>,1
"Augeix, Chedecal, Crussaire e",M. Dordain et R. Dailly,question: Qui sont les médecins ayant établi un diagnostic pour Pascal ? </s>,1
croissance rapide et axee sur l'industrie,croissance rapide et axée sur l'industrie,"question: Quels sont les causes de l'augmentation de la consommation énergétique en Chine, pendant les années 90 et 2000? </s>",1
rabbi,pape,question: Quel statut Simon Kepha a pour les chrétiens ? </s>,1
La Confession,La Confession,question: Quel film Paradjanov était en train de tourner juste avant de mourir ? </s>,1
maniere composite,entre panafricanisme et volonté d'échapp,question: Comment se construit l'imaginaire identitaire africain ? </s>,1
Comite executif,Comité national d'organisation,question: A quel organe est adossé le Comité exécutif ? </s>,1
la Convention nationale par son departement,il est réélu à la convention nationale,question: Le 3 septembre 1792 il ce passe quoi ? </s>,1
ses enfants,organismes de bienfaisance et des personnes,question: À qui George Grossmith lèègue t'il ses biens ? </s>,1
racialisme,le racisme,question: Quelles est l'idéologie qui postule une hiéarchie des races et mène à des actes discriminants ? </s>,1
inhumes au cimetiere national d',astronaute,question: Que veut devenir Chaffee ? </s>,1
Reggie Fils-Aime,Reggie Fils-Aimé,question: Face à qui le président de Nintendo s'est-il mesuré en simulant un combat à la façon Super Smash Bros ? </s>,1
42,"En 1968, il inaugure le palmarès du soulier",question: Combien de buts a marqué Eusébio en championnat en  1968 ? </s>,1
26,26,question: Combien  de listes LO à t elle conduit avec le PS ? </s>,1
Traite d'Utrecht,traité d'Utrecht,question: Quel traité entérine la victoire de la Grande-Bretagne ? </s>,1
sienne,dans une situation proche de celle qui était la sienne à,question: Comment étaient les frontières française  après les victoires du printemps 1794 ? </s>,1
servir d'intermediaire entre les chefs zoulous,servir d'intermédiaire entre les chefs zoulous e,question: Quelle tâche est attribuée à Melmoth Osborn dans le contexte du conflit anglo-zoulou ? </s>,1
Primat des Gaules,primat des Gaules,question: Titre de l'archevêque de Lyon </s>,1
veritable malediction,L'appel au jugement de Dieu,question: Quelle malédiction est-elle prononcée par Jacques de Molay à l’adresse de Philippe le Bel et de Clément V ? </s>,1
Gourou Rinpoche,Tara Verte,question: Qui est la génitrice des Bouddhas ? </s>,1
Pierre de Rigaud de Vaudreuil,Pierre de Rigaud de Vaudreuil de Cava,question: Qui a le titre de marquis de Vaudreuil ? </s>,1
Constitution de 1974,la Constitution de 1974,question: Quel document jurique précise les cadres des républiques et des provinces autonomes de la yougoslavie </s>,1
roi,au roi,"question: Au Moyen Age, à  qui la notion de ""cas royal"" réserve-t-ell les affaires importantes ? </s>",1
en 1356,1356,question: Quand l(évêque de Varmie obtient-il l 'immédiateté impériale? </s>,1
comme une ligne,une ligne,question: Comment Varron considère-t-il le pomerium ? </s>,1
"hostilite de la population locale, qui n'avait pas",hostilité de la population locale,question: Comment sont accueillis les acadiens déportés dans les treize colonies ? </s>,1
climatiques et ecologiques,Toutes les études ayant porté sur le bilan des effet,question: Quels sources disent que les castors sont positifs pour l'écologie ? </s>,1
la vie sociale se poursuit normalement,passion,question: Que ressent Bernard pour Mathilde ? </s>,1
Premiere Guerre mondiale,Première Guerre mondiale,question: À quelle guerre Robert sterling Clark participe-t-il ? </s>,1
Masseroni,président Masseroni,question: Qui a annoncé que le club s’appelerait l’Internazionale ? </s>,1
phaneroscopy ou categorics,phaneroscopy,question: quel est l'un des autres noms de la phenomenologie pour peirce? </s>,1
Institution des peres de famille,Institution des pères de famille,question: Comment s’appelle la pension fondée par Ernest-Charles Lasègue ? </s>,1
1632 et 1633,1632 et 1633,question: En quelles années Mélèce est il allé en Moldo-Valachie ? </s>,1
trois,"une épée bien affûtée, une dague,",question: Quelles sont les armes en possession de Gesualdo ? </s>,1
"linguiste, philologue et comparat",philologue et comparatiste,question: Qui est Georges Dumézil? </s>,1
vers 1015,vers 1015,question: Quand se termine la période submycénienne? </s>,1
des archives de la Grande Loge de Hambourg,archives de la Grande Loge de Hambourg,question: Où Théodore Merzdorf retrouva-t-il une règle secrète de l'ordre des Templiers </s>,1
"dans la région de Padoue, dans le Ferrarais",Padoue,question: Où se situe Este ? </s>,1
Andre Serot,colonel André Sérot,question: Qui a commandé le SSFA en 1948 ? </s>,1
Milan AC,l'Inter,question: Qui est le rival de l’AC milan ? </s>,1
milieu des annees 1980,milieu des années 1980,question: depuis quand opère t'on les enfants sous anesthésie </s>,1
racine du polynome X + 1,nombre premier,question: Quels objets mathématiques les entiers algébriques permettent-ils d'étudier ? </s>,1
1945,en 2001,question: quand a été crée le racing 92 ? </s>,1
Yamato,Yamato,question: Quel est le nom du vaisseau dont Kodai est le capitaine ? </s>,1
en Russie,américain,question: L’Etat du Tennessee est il aux États Unis ou en Russie ? </s>,1
loi sur la conscription,loi sur la conscription,question: Quelle loi oblige Tatsuguchi à quitter son travail ? </s>,1
souverain,du souverain hafside,question: De qui Arudj Barberousse reçoit-il l’autorisation d’utiliser le port de la Goulette ? </s>,1
tuteur etait,Son tuteur,question: Qui était David Bogue de Gosport ? </s>,1
juin,mai,question: Quel mois se courent les 4 jours de Dunkerque ? </s>,1
"pour la reprimer, le gouvernement enrola des",les sentiments anti-orangistes,question: Quelles étaient les motivations des exactions commises à l'encontre des populations orangistes en 1798 ? </s>,1
au sud-est,en Kabylie,question: Où se situe la chaîne des Bibans ? </s>,1
les Pays-Bas,l'Allemagne,question: Contre qui jouait le Brésil au footbal ? </s>,1
Bran,Bran le Bâtisseur,question: Qui est l'ancêtre des Stark? </s>,1
Gilles Deleuze,Gilles Deleuze,question: quel philosophe remet en cause l'apocalypse du désir </s>,1
UEF,la France,question: Qui prend la tête de l'initiative ? </s>,1
2 septembre 2016,2 septembre 2016,question: quand fénix est défait par Will Ospreay? </s>,1
n'est pas obligatoirement sans aucune fonction pour l,une structure vestigiale n'est pas obligatoirement sans,question: une structure vestigiale a-t-elle une fonction pour l'organisme ? </s>,1
Gilsig,critique,question: Comment s'appelle un journaliste qui donne son avis ? </s>,1
n'a jamais ete vraiment etablie,il semblerait que ceci était dû à une né,question: Quelle était la cause de l'incendie ? </s>,1
décideurs marketing,"pour les aider dans la planification du marketing, la mise en",question: Quel est l'objectif des informations du SIG ? </s>,1
abandonne le professionnalisme,changement de nom marque,question: Que devient le CO Roubaix- Tourcoing en 1963 ? </s>,1
l'ecole de son pere,dans l'école de son père,question: Dans quelle école va Edward Dickinson Baker ? </s>,1
"par immersion, la communion hebdomadaire,",baptême par immersion,question: Quel type de baptême faisait les églises lancées par Robert et James Haldane ? </s>,1
7 novembre 1659,7 novembre 1659,question: Quand le traité des Pyrénées a-t-il été conclu? </s>,1
neerlandaise,néerlandais,question: De quelle nationalité est le directeur général de l'équipe Fondas Imabo-Doorisol? </s>,1
obstetrique,Vienne,question: Dans quel concervatoire va t elle étudier ? </s>,1
1919,1919,question: Quand est ce que la Ligue du Nord est née ? </s>,1
1610,1610,question: Quand François Mézeray est-il né ? </s>,1
"pour leur rarete, leur reliure, etc.",personne qui a la passion de collectionner les livres pour leur rare,question: Que recherche le bibliomane ? </s>,1
refus par trois fois de se mettre sous la protection allemande,il est reproché de ne pas avoir pu traiter,question: Pourquoi est-ce que von François quitte le Sud-Ouest africain allemand ? </s>,1
au Dragon Stadium a Southlake,au Dragon Stadium à Southlake,question: Où ont été délocalisés les matches à domiciles du Dallas Burn ? </s>,1
Tanzanie,Tanzanie,question: Dans quel pays a étudié Yoweri Museveni ? </s>,1
"Becancour, la riviere Yamaska et","La rivière Bécancour, la rivière Yamaska e",question: Quelles rivières servent de réservoir d eau potable ? </s>,1
Prosper Mahoukou,Prosper Mahoukou,question: Qui participe à diriger l'amicale au congo belge ? </s>,1
Yvonne,Jean,question: quel est le prénom de cocteau </s>,1
Lachlan Macquarie,Lachlan Macquarie,question: Qui joue un rôle important pour transformer la colonie pénitentiaire australienne ? </s>,1
huit,trois,question: Combien de personnes ont été condamnées à mort entre le 17 août et le 26 août? </s>,1
allemands et francais,Allemands,question: Qui a colonisé le territoire camerounais après le Portugal et la Hollande ? </s>,1
"Tennessee, État americain ou se trouve le laboratoire national",L'IUPAC,question: L’IUPAC a confirmé l’identification du tennesse en 2015 où 2016 ? </s>,1
véhicule une morale et un systèmee de valeurs,véhicule une morale et un système de valeurs,question: Quelle est la fonction du conte dans le récit oral africain ? </s>,1
l’alimentation,de l’alimentation et du sexe,question: De quels facteurs dépend le taux de mortalité à deux ans des rats selon Hubert et al. ? </s>,1
Mariner 10,Mariner 10,question: Quelle est la première sonde à exploiter le principe de la voile solaire ? </s>,1
Tessin l'Ancien,Tessin,question: qui a dessiné les plans  du nouveau  chateau ? </s>,1
"spacieuses galeries commerciales, e",galeries,question: Quelle forme prennent les commerces construits par Choukhov ? </s>,1
1676,1676,question: En quelle année la podolie est prise? </s>,1
Calabre,la Calabre,question: Dans quelle région Guillaume et Guaimar lancent-ils leur conquête en 1044 ? </s>,1
apres l'independance n'ont pas,le port était censé refléter l',question: Pour quelle raison les régimes post-coloniaux ont-ils créé des costumes nationaux? </s>,1
onzieme,sixième,question: A quel rang finit le club la saison 2005/2006? </s>,1
Severus Rogue,Pétunia,question: Comment s’appelle la soeur de Lily Evans ? </s>,1
l'un est président,roi,question: Qui nomme les personnalités qui siègent au Conseil ? </s>,1
HPRC,HPRC,question: quel est le nom du centre dédié à Peirce en Finlande? </s>,1
"portes, soit remorques par le tracteur",charrue,question: Quel outils d’attelage est employé pour réaliser le tracé ? </s>,1
baie des Chaleurs,dans la baie des Chaleurs,question: Où la France projette-t-elle une flotte pour soutenir les colons de la Nouvelle-France ? </s>,1
les mots (ou expressions) que les traducteurs n,mots (ou expressions) que les traducteurs ne,question: Qu'est-ce qu'un hapax ? </s>,1
Bermudes,Bermudes,question: quel est le premier pays à revenir sur le mariage homosexuel ? </s>,1
Louis IX,Louis IX de France,question: Quel est le nom de Saint Louis ? </s>,1
syllabaires japonais,kanji,question: Les caractères chinois s’appelle comment en japon </s>,1
transformer en coproprietes soumises a une,étendre leurs investissements au marché des services financiers,question: Quel est l'intérêt de la privatisation des cabinets pour les marques de supermachés britanniques ? </s>,1
ne remporte pas le titre de meilleur buteur du championnat,Eusébio quant à lui ne remporte pas,question: Eusebio a-t-il gagné le titre de meilleur buteur en 1969 ? </s>,1
les plus fines de la langue francaise,plusieurs paradoxes philosophiques,question: Que cherchait Pascal à montrer avec les Pensées ? </s>,1
Guillaume de Gesualdo,Don Carlo Gesualdo,question: Qui est le prince de Venosa ? </s>,1
l'ammoniac liquide,insoluble,question: Quelle est la solubilité du véronal ? </s>,1
spécialiste en matiere d'economie sobre,prospectiviste et expert en matière d'économie,question: Qui est Christian de Perthuis? </s>,1
Ivan Paskevitch,vice-roi Ivan Paskevitch,question: Quel est le successeur du prince Menchikov à la tête des troupes russes? </s>,1
son potentiel de decouverte semble epuise,son potentiel de découverte semble épuisé,question: Pourquoi l'hypothèse sur le saumon est-elle moindre ? </s>,1
le Royaume-Uni,Royaume-Uni,question: Quelle puissance coloniale était présente au Nigeria ? </s>,1
Kate Barry,Kate Barry,question: Qui a créé le modèle Hazelden ? </s>,1
vers -500,vers -500,question: À quelle époque est adoptée la céramique ? </s>,1
dans le golfe du Maine,dans le golfe du Maine,question: Où est située l'île Machias Seal ? </s>,1
pape Francois,pape François,question: Qui organise les célébrations visant à canoniser des personnes ? </s>,1
dans son droide BB-8,drode BB-8,question: Où Poe a-t-il caché la carte ? </s>,1
2012,2012,question: en quelle année l'interview a été publié ? </s>,1
peau,La peau,question: Quelle partie du corps de rhinocéros nous permet  de savoir c'est un blanc? </s>,1
Aegon le Conquerant,Aegon le Conquérant,question: À qui s'est rendu le roi Torrhen? </s>,1
douze,entre sept et douze,question: Combien de plis se trouvent sur le crouzet ? </s>,1
durant l'expedition francaise a,durant l'expédition française à l'Ann,question: Quand la morphine a été utilisée ? </s>,1
Quelques mois apres le traite de paix de 1783,1783,question: Quand est-ce que Robert Haldane quitte la Marine ? </s>,1
abbaye benedictine de Saint-Pierre,abbaye bénédictine de Saint-Pierre,question: Quel est le plus vieux monastère existant des pays germanophones? </s>,1
des mecanismes moleculaires de processus biologiques fonda,Certaines paires de gènes létaux,question: Que peut-on détecter sans utiliser de tests à haut débit ? </s>,1
ses voisins du point de vue de la technique militaire,sols sont fertiles ; les montagnes qui l,question: Quels sont les avantages de Qin ? </s>,1
a la fois dieu et divin,j'ai,question: que veut dire la lettre g dans un texto? </s>,1
en un pouvoir theocratique,en un pouvoir théocratique,question: en quoi les almoravides ont ils transformé la base tribale? </s>,1
Henri II Plantagenet,Aliénor d'Aquitaine,question: Quelle est le nom de la Reine de Louis VII ? </s>,1
troisieme,trois,question: Combien de fois l'Inter a-t-il remporté la Ligue des champions ? </s>,1
Constitution de 1791,Constitution de 1791,question: Quel texte ouvre le vote à partir de 25 ans ? </s>,1
Harris,Charlie,question: De qui Mildred a-t-elle divorcé ? </s>,1
architecte,architecte,question: Quel est le métier de Purochana ? </s>,1
via Francigena,via Francigena,question: par quelle voie commence le pelerinage dans la ville sainte ? </s>,1
deux ou trois,deux ou trois,question: Combien y-a-t-il de glissements de terrain de Storegga? </s>,1
"faisant culturellement, historiquement et politiquement",partie de l'Europe,question: L Arménie est considérée comme quoi ? </s>,1
Le Relecq-Kerhuon,Le Relecq-Kerhuon,question: Où est situé le Crédit mutuel Arkéa ? </s>,1
deux,deux,question: Combien d'épreuves de la Coupe du monde B Florian Schillinger a-t-il gagné en 2006 ? </s>,1
ne regle pas leur querelle,D'Aulnay de Charnizay e,question: Comment la querelle entre de Menou d'Aulnay de Charnizay et de Saint-Etienne de la Tour finit-elle par se régler ? </s>,1
dynastie Qing,république,question: Quelle régime politique arrive en Chine après l’ère impériale ? </s>,1
Annales de l'Observatoire astronomique de l,"Après des études plus approfondies, elle confirma",question: Leavitt a-t-elle poursuivi ses recherches après sa première publication ? </s>,1
officier superieur du royaume,officier supérieur du royaume,question: Quel est le titre du comte-maréchal sur les questions militaires ? </s>,1
qualite des betes a viande,qualité des bêtes à viande disponibles,question: Qu'est-ce qui fait la particularité de la cuisine hongroise à part le paprika ? </s>,1
Bretagne Classic,En mai,question: Quel mois se courent les 4 jours de Dunkerque ? </s>,1
masculin,Ambroise Vollard,question: Qui est le modèle de Cézanne évoqué dans cet extrait ? </s>,1
compacite,la compacité,question: Qu'est-ce qui caractérise l'équipe d'Alfredo Foni ? </s>,1
